Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	RxNorm_Semantic_Group_Abbreviation	RxNorm_Semantic_Group_Name	NDFRT_Code	NDFRT_Full_Name	NDFRT_Semantic_Group_Abbreviation	NDFRT_Semantic_Group_Name	UNII_Code	UNII_Display_Name
 ? pain meds	? Pain meds	1	Map						N0000029133	[CN100] ANALGESICS	CHEM	Chemicals & Drugs		
 adhesive tape	adhesive tape	2	Map	Suggest adding text annotation					N0000184183	ELASTIC ADHESIVE	CHEM	Chemicals & Drugs		
 iodine	iodine	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000007802	Iodine Compounds [Chemical/Ingredient]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
 Lemon	Lemon	1	Map		1364291	Lemon extract	CHEM	Chemicals & Drugs	N0000022933	LEMON	OBJC	Objects	24RS0A988O	LEMON
 sulfa	sulfa	1	Map						N0000008048	Sulfonamides [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
 SULFA   ,NYSTATIN OINT	NYSTATIN OINT	1	Map		7597	Nystatin	CHEM	Chemicals & Drugs	N0000006699	Nystatin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	BDF1O1C72E	NYSTATIN
 SULFA   ,NYSTATIN OINT	SULFA	1	Map						N0000008048	Sulfonamides [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
* * * * *  LATEX  * * * * *	* * * * *  LATEX  * * * * *	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
* * * * * * * * * * L A T E X  * * * * * * * * * *	* * * * * * * * * * L A T E X  * * * * * * * * * *	1	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
* * * * * * * * * * L A T E X  A L L E R G Y * * * * * * * * * *	* * * * * * * * * * L A T E X  A L L E R G Y * * * * * * * * * *	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
* * * * * * * * * * L A T E X * * * * * * * * * *	* * * * * * * * * * L A T E X * * * * * * * * * *	2	Map		1314891	Latex	CHEM	Chemicals & Drugs	N0000007394	Latex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	2LQ0UUW8IN	NATURAL LATEX RUBBER
