Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	UMLS_CUI_2	NDFRT_Full_Name	UNII_Code	UNII_Display_Name	SNOMED_CONCEPTID	SNOMED_FSN	UMLS_CUI
 ? pain meds	? Pain meds	1	Map				C0002771	[CN100] ANALGESICS			373265006	Analgesic (substance)	C0002771
 adhesive tape	adhesive tape	2	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
 iodine	iodine	1	Map		5933	Iodine	C0021968	Iodine Compounds [Chemical/Ingredient]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
 Lemon	Lemon	1	Map		1364291	Lemon extract	C0939864	LEMON	24RS0A988O	LEMON	256308002	Lemon - dietary (substance)	C1122959
 sulfa	sulfa	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
 SULFA   ,NYSTATIN OINT	NYSTATIN OINT	1	Map		7597	Nystatin	C0028741	Nystatin [Chemical/Ingredient]	BDF1O1C72E	NYSTATIN	387048002	Nystatin (substance)	C0028741
 SULFA   ,NYSTATIN OINT	SULFA	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
* * * * *  LATEX  * * * * *	* * * * *  LATEX  * * * * *	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
* * * * * * * * * * L A T E X  * * * * * * * * * *	* * * * * * * * * * L A T E X  * * * * * * * * * *	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
* * * * * * * * * * L A T E X  A L L E R G Y * * * * * * * * * *	* * * * * * * * * * L A T E X  A L L E R G Y * * * * * * * * * *	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
* * * * * * * * * * L A T E X * * * * * * * * * *	* * * * * * * * * * L A T E X * * * * * * * * * *	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
* * * * * * * * * *L A T E X * * * * * * * * * *	* * * * * * * * * *L A T E X * * * * * * * * * *	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
* * * * * * * * * *LATEX * * * * * * * * * *	* * * * * * * * * *LATEX * * * * * * * * * *	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
* * * * * LATEX * * * * *	* * * * * LATEX * * * * *	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
* * * * *L A T E X  A L L E R G Y* * * * *	* * * * *L A T E X  A L L E R G Y* * * * *	2	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
**  I V  **  VITAMIN  K	**  I V  **  VITAMIN  K	1	Map	Likely not an allergy	11258	Vitamin K	C0031862	Vitamin K [Chemical/Ingredient]	A034SE7857	PHYTONADIONE	65183007	Vitamin K (substance)	C0042878
** ALL   C A I N E S **	** ALL   C A I N E S **	1	Map				C3536836	Local Anesthetic [EPC]			373477003	Local anesthetic (substance)	C0002934
** L A T E X    A L L E R G Y **	** L A T E X    A L L E R G Y **	4	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
** NO TYLENOL IN ALLOGENIC TRANSPLANT PT***	** NO TYLENOL IN ALLOGENIC TRANSPLANT PT***	1	Map		161	Acetaminophen	C0000970	Acetaminophen [Chemical/Ingredient]	362O9ITL9D	ACETAMINOPHEN	387517004	Paracetamol (substance)	C0000970
